,p,z,mdens_sum,mdens_to_divide,serpent_burnup,mdens_ratio,corrected_burnup
fuelP1Z1,1,1,0.0963049,0.0963049,0.0181668,1.0,0.0181668
fuelP2Z1,2,1,0.0964433,0.0963049,0.0213567,1.0014371023696613,0.0213567
fuelP3Z1,3,1,0.0961436,0.0963049,0.0218747,0.9983251111833354,0.02190613618320563
fuelP4Z1,4,1,0.0958823,0.0963049,0.0200041,0.9956118536024647,0.019970595356622562
fuelP5Z1,5,1,0.09565,0.0963049,0.018662,0.9931997229632137,0.018580108411929197
fuelP6Z1,6,1,0.0954307,0.0963049,0.017222,0.9909225802633095,0.017104885628872468
fuelP7Z1,7,1,0.0952298,0.0963049,0.0158927,0.9888364974160194,0.0157484352913507
fuelP8Z1,8,1,0.0948663,0.0963049,0.0314774,0.9850620269581298,0.03112600196376301
fuelP9Z1,9,1,0.0944272,0.0963049,0.0402632,0.9805025497145006,0.03966174940382057
fuelP10Z1,10,1,0.0939458,0.0963049,0.0454223,0.9755038424836119,0.04453668096389696
fuelP11Z1,11,1,0.0934684,0.0963049,0.0482892,0.9705466700032915,0.04710630015045963
fuelP12Z1,12,1,0.0929419,0.0963049,0.0563531,0.9650796584597461,0.05469331354936249
fuelP13Z1,13,1,0.0923443,0.0963049,0.0702375,0.9588743667248499,0.06778478251106641
fuelP14Z1,14,1,0.0917973,0.0963049,0.067493,0.9531944895846421,0.0647173076333603
fuelP15Z1,15,1,0.0914039,0.0963049,0.0478857,0.9491095468662549,0.0456443853699033
fuelP16Z1,16,1,0.0911537,0.0963049,0.0307376,0.9465115482182112,0.029173349607756197
fuelP17Z1,17,1,0.0905908,0.0963049,0.0815,0.9406665704444945,0.07714069117978421
fuelP18Z1,18,1,0.0897516,0.0963049,0.145909,0.9319525797752762,0.13725171862698576
fuelP19Z1,19,1,0.0886738,0.0963049,0.179565,0.920761041234662,0.16734606498734747
fuelP20Z1,20,1,0.0877567,0.0963049,0.153451,0.9112381612981272,0.14129170253850012
fuelP21Z1,21,1,0.0869207,0.0963049,0.142498,0.9025573984293634,0.12984961550866053
fuelP22Z1,22,1,0.0862392,0.0963049,0.129308,0.8954809153012983,0.11670789207610413
fuelP23Z1,23,1,0.0849727,0.0963049,0.282345,0.882329974902627,0.2528345590307451
fuelP24Z1,24,1,0.0835843,0.0963049,0.292311,0.8679132629803883,0.2579147572937618
fuelP25Z1,25,1,0.0819787,0.0963049,0.363198,0.8512412141022939,0.31522436128795106
fuelP26Z1,26,1,0.0803144,0.0963049,0.465131,0.8339596427596103,0.39593867715661407
fuelP27Z1,27,1,0.0780302,0.0963049,0.656318,0.8102412234476127,0.5473427248167019
fuelP28Z1,28,1,0.0760975,0.0963049,0.675599,0.7901726703417998,0.5473981603199837
fuelP29Z1,29,1,0.0730596,0.0963049,1.18825,0.7586280656539802,0.9389226755336437
fuelP30Z1,30,1,0.0699377,0.0963049,1.34701,0.7262112312042275,1.0218795907165679
fuelP31Z1,31,1,0.0668358,0.0963049,1.57358,0.6940020705073159,1.1427514691983482
fuelP32Z1,32,1,0.0628509,0.0963049,2.36444,0.6526241136224636,1.6409262555903181
fuelP33Z1,33,1,0.0591328,0.0963049,2.5347,0.6140165246005136,1.6542063407988585
fuelP34Z1,34,1,0.055729,0.0963049,2.65809,0.5786725286044635,1.6321111838753792
fuelP35Z1,35,1,0.0514573,0.0963049,3.8893,0.534316530103868,2.2506310655013397
fuelP36Z1,36,1,0.0475691,0.0963049,4.19027,0.49394267581400325,2.238930526598335
fuelP37Z1,37,1,0.0432382,0.0963049,5.58668,0.44897196300499764,2.7594996681165758
fuelP38Z1,38,1,0.0388854,0.0963049,6.67215,0.403773847436631,2.9956082829637953
fuelP39Z1,39,1,0.0355862,0.0963049,5.97504,0.36951598516794054,2.4125648893877676
fuelP40Z1,40,1,0.0337789,0.0963049,3.56027,0.3507495464924422,1.3155766765138637
fuelP41Z1,41,1,0.0324225,0.0963049,2.98785,0.33666511257474957,1.0479870324874434
fuelP42Z1,42,1,0.0314833,0.0963049,2.17177,0.3269127531413251,0.7311591915364639
fuelP43Z1,43,1,0.0309635,0.0963049,1.38772,0.32151531230498137,0.45366336578927974
fuelP44Z1,44,1,0.0301766,0.0963049,2.13152,0.3133443884994429,0.685316318484314
fuelP45Z1,45,1,0.0292063,0.0963049,2.58503,0.3032690963803503,0.8100046446027149
fuelP46Z1,46,1,0.0286745,0.0963049,1.63016,0.29774705129230183,0.4943771501553919
fuelP47Z1,47,1,0.0282678,0.0963049,1.28135,0.2935240055282753,0.38151818417339095
fuelP48Z1,48,1,0.0279891,0.0963049,0.861264,0.29063007178243266,0.2528016590973045
fuelP1Z2,1,2,0.0968243,0.0968243,0.0254149,1.0,0.007386334211343348
fuelP2Z2,2,2,0.096274,0.0968243,0.0307735,0.9943165093886555,0.0307735
fuelP3Z2,3,2,0.0958869,0.0968243,0.0312167,0.9903185460674644,0.03103928017863284
fuelP4Z2,4,2,0.0955651,0.0968243,0.0279755,0.9869950002220517,0.027704656485510352
fuelP5Z2,5,2,0.0952606,0.0968243,0.0265551,0.9838501285317839,0.026209750930396607
fuelP6Z2,6,2,0.0949713,0.0968243,0.0246623,0.9808622422263832,0.024264007024889414
fuelP7Z2,7,2,0.094708,0.0968243,0.0228666,0.9781428835529924,0.022428984548093816
fuelP8Z2,8,2,0.0942392,0.0968243,0.0494157,0.9733011237881399,0.048335615290789606
fuelP9Z2,9,2,0.093633,0.0968243,0.0657269,0.9670402987679745,0.0639720656331107
fuelP10Z2,10,2,0.0929744,0.0968243,0.0743613,0.960238287289451,0.07191037376877499
fuelP11Z2,11,2,0.0923027,0.0968243,0.080828,0.953300979196338,0.07761414028503175
fuelP12Z2,12,2,0.0915816,0.0968243,0.097561,0.9458534686024066,0.09300499683137393
fuelP13Z2,13,2,0.0907385,0.0968243,0.121914,0.9371459437351987,0.1153127797711938
fuelP14Z2,14,2,0.0899631,0.0968243,0.118227,0.9291376235098008,0.11079595348998134
fuelP15Z2,15,2,0.089464,0.0968243,0.0812672,0.9239829257737985,0.07550841307729568
fuelP16Z2,16,2,0.0891233,0.0968243,0.0501809,0.9204641809958863,0.046366294799962404
fuelP17Z2,17,2,0.088358,0.0968243,0.150591,0.9125601734275384,0.13861362148035153
fuelP18Z2,18,2,0.0871413,0.0968243,0.277224,0.8999941130480675,0.25298358151827594
fuelP19Z2,19,2,0.0855545,0.0968243,0.352113,0.8836056651067966,0.3168996271276942
fuelP20Z2,20,2,0.084181,0.0968243,0.310157,0.8694201765465901,0.2740564822725287
fuelP21Z2,21,2,0.0829698,0.0968243,0.285216,0.856910920089275,0.24797254507391225
fuelP22Z2,22,2,0.0820168,0.0968243,0.257675,0.8470683495775337,0.22080452133400394
fuelP23Z2,23,2,0.0800921,0.0968243,0.60057,0.8271900752187209,0.5087238387057795
fuelP24Z2,24,2,0.0780087,0.0968243,0.644264,0.805672749506064,0.532928786620714
fuelP25Z2,25,2,0.0757005,0.0968243,0.802964,0.7818336925751077,0.6469262136343872
fuelP26Z2,26,2,0.0732409,0.0968243,1.03729,0.7564309785869869,0.8109882709712335
fuelP27Z2,27,2,0.069814,0.0968243,1.55639,0.7210380038895194,1.1773016107630006
fuelP28Z2,28,2,0.0669208,0.0968243,1.61116,0.6911570752383441,1.161707590346638
fuelP29Z2,29,2,0.0623728,0.0968243,2.95947,0.6441853956083339,2.0454586294556223
fuelP30Z2,30,2,0.0578477,0.0968243,3.41431,0.5974502268542091,2.1994486380794904
fuelP31Z2,31,2,0.0534427,0.0968243,4.00539,0.5519554492002524,2.3930211641395807
fuelP32Z2,32,2,0.0480067,0.0968243,6.04101,0.4958125181385251,3.3343683881732167
fuelP33Z2,33,2,0.0430972,0.0968243,6.62992,0.44510727162499497,3.2871973302569706
fuelP34Z2,34,2,0.0387991,0.0968243,6.80739,0.40071655565803216,3.0300187897872743
fuelP35Z2,35,2,0.033719,0.0968243,10.0284,0.3482493547590842,4.01854590676101
fuelP36Z2,36,2,0.0293238,0.0968243,10.6794,0.3028557913664235,3.7190941592141633
fuelP37Z2,37,2,0.0247376,0.0968243,14.119,0.2554895826770759,4.2760209183025335
fuelP38Z2,38,2,0.0205182,0.0968243,16.4086,0.21191167919623483,4.192226366315067
fuelP39Z2,39,2,0.0175203,0.0968243,14.6179,0.18094941042692794,3.097703735322641
fuelP40Z2,40,2,0.0160335,0.0968243,8.46964,0.16559376107030982,1.532576364528326
fuelP41Z2,41,2,0.0149486,0.0968243,7.04995,0.1543889292254114,1.1674277358576306
fuelP42Z2,42,2,0.0142716,0.0968243,4.9742,0.1473968828073118,0.7679614117530413
fuelP43Z2,43,2,0.013908,0.0968243,3.04,0.14364162715351414,0.4480865237342279
fuelP44Z2,44,2,0.0133456,0.0968243,4.85093,0.1378331679134267,0.6967954784077963
fuelP45Z2,45,2,0.0126406,0.0968243,5.95756,0.1305519378916243,0.8211493678343144
fuelP46Z2,46,2,0.0122738,0.0968243,3.59909,0.12676363268311777,0.4698681741463661
fuelP47Z2,47,2,0.012033,0.0968243,2.74461,0.12427665369127378,0.3479167338984119
fuelP48Z2,48,2,0.0119048,0.0968243,1.80492,0.12295260590574887,0.22430941778045388
fuelP1Z3,1,3,0.0963725,0.0963725,0.0352643,1.0,0.0043358375804421
fuelP2Z3,2,3,0.0959921,0.0963725,0.0445846,0.996052815896651,0.0445846
fuelP3Z3,3,3,0.0954549,0.0963725,0.0464764,0.9904786116371371,0.04629294909273911
fuelP4Z3,4,3,0.0949754,0.0963725,0.0444486,0.9855031258917223,0.04402538761721445
fuelP5Z3,5,3,0.0945287,0.0963725,0.0420798,0.9808679861993825,0.0414697744368985
fuelP6Z3,6,3,0.0941049,0.0963725,0.039656,0.9764704661599524,0.03889730086072271
fuelP7Z3,7,3,0.0937407,0.0963725,0.0361121,0.9726913798023294,0.035262399121014816
fuelP8Z3,8,3,0.0930954,0.0963725,0.0801661,0.965995486264235,0.07797687442237153
fuelP9Z3,9,3,0.0921906,0.0963725,0.111239,0.956606915873304,0.10745637189654725
fuelP10Z3,10,3,0.0912123,0.0963725,0.130625,0.9464556797841708,0.12495677838595033
fuelP11Z3,11,3,0.0902362,0.0963725,0.143779,0.9363272717839632,0.13608045118368828
fuelP12Z3,12,3,0.0891618,0.0963725,0.172375,0.9251788632649355,0.16139941347376066
fuelP13Z3,13,3,0.0880346,0.0963725,0.203096,0.9134825806116891,0.18790012641365533
fuelP14Z3,14,3,0.0869719,0.0963725,0.196112,0.9024555760201303,0.17914489584891957
fuelP15Z3,15,3,0.0862715,0.0963725,0.135344,0.8951879426184856,0.1221419474808685
fuelP16Z3,16,3,0.0858679,0.0963725,0.0830869,0.8910000259410101,0.07437839106954786
fuelP17Z3,17,3,0.0848255,0.0963725,0.24984,0.880183662351812,0.22260744648110198
fuelP18Z3,18,3,0.0831543,0.0963725,0.455036,0.8628426158914628,0.40051525298191915
fuelP19Z3,19,3,0.0809786,0.0963725,0.625906,0.8402666735842693,0.5400583703421619
fuelP20Z3,20,3,0.079003,0.0963725,0.590546,0.8197670497289165,0.49621612301849594
fuelP21Z3,21,3,0.0772726,0.0963725,0.555554,0.8018117201483825,0.4554248635450984
fuelP22Z3,22,3,0.0759602,0.0963725,0.472139,0.7881937274637475,0.37856658373913715
fuelP23Z3,23,3,0.0733445,0.0963725,1.11854,0.7610521673713975,0.8816262119173002
fuelP24Z3,24,3,0.0704578,0.0963725,1.29347,0.7310986017795533,0.9843981469298814
fuelP25Z3,25,3,0.0672838,0.0963725,1.61567,0.6981638953020831,1.181214077937171
fuelP26Z3,26,3,0.0639963,0.0963725,2.00082,0.6640514669641236,1.3969002849983139
fuelP27Z3,27,3,0.059445,0.0963725,3.20308,0.6168253391787076,2.127009972803445
fuelP28Z3,28,3,0.0556701,0.0963725,3.1967,0.5776554515032816,1.9718055617525747
fuelP29Z3,29,3,0.0498798,0.0963725,5.9823,0.5175729590910271,3.4557082075280814
fuelP30Z3,30,3,0.0442874,0.0963725,7.08579,0.45954395704168716,3.667413297797609
fuelP31Z3,31,3,0.0392095,0.0963725,8.05612,0.40685361487976346,3.7021412632026767
fuelP32Z3,32,3,0.0331869,0.0963725,11.9728,0.3443606838050274,4.8711769602324315
fuelP33Z3,33,3,0.0280272,0.0963725,13.2718,0.29082155179122676,4.570286123323562
fuelP34Z3,34,3,0.0238379,0.0963725,13.3385,0.24735168227450777,3.879123268567278
fuelP35Z3,35,3,0.0192431,0.0963725,19.0265,0.19967418091260472,4.706236782795922
fuelP36Z3,36,3,0.0155515,0.0963725,19.9672,0.16136864769514125,3.9869343051181607
fuelP37Z3,37,3,0.0120446,0.0963725,25.4401,0.1249796363070378,4.105234534229163
fuelP38Z3,38,3,0.00915726,0.0963725,28.5872,0.09501942981659706,3.572817859036551
fuelP39Z3,39,3,0.00724797,0.0963725,25.5208,0.07520786531427534,2.4249718644634104
