,Isotopes,value,Sim_no,Sim,Fraction,RelativeFrac
0,U238,1676.77258138,0,01_fresh_fuel,92.33542032985068,98.98296252387091
1,Pu239,17.017044988699997,0,01_fresh_fuel,0.9370835492255114,1.0045473936586211
2,Pu240,0.21158214799449998,0,01_fresh_fuel,0.011651267909740078,0.012490082470470376
0,U238,1669.7118562599999,1,01_fresh_fuel_s2,91.94564182850263,98.62146123666939
1,Pu239,22.943003287030002,1,01_fresh_fuel_s2,1.2633971273489812,1.3551275334372872
2,Pu240,0.39636411418289996,1,01_fresh_fuel_s2,0.02182649224157977,0.023411229893314452
0,U238,1658.52983864,2,01_fresh_fuel_s3,91.3286087270447,98.08319911986418
1,Pu239,31.63833699591,2,01_fresh_fuel_s3,1.742196753386864,1.8710482230068475
2,Pu240,0.7736508161069,2,01_fresh_fuel_s3,0.0426018580006522,0.04575265712896797
0,U238,1635.97812608,3,01_fresh_fuel_s4,90.08482600474265,97.07667863951447
1,Pu239,47.4200480174,3,01_fresh_fuel_s4,2.611175972761831,2.8138400441121654
2,Pu240,1.845026440041,3,01_fresh_fuel_s4,0.10159603186351866,0.10948131637336393
0,U238,1142.7523648269998,4,02_discharged_s96,62.9500142852253,86.87519657499828
1,Pu239,134.3002289941,4,02_discharged_s96,7.398104430934603,10.209874993954646
2,Pu240,38.34283534546999,4,02_discharged_s96,2.1121654236075744,2.914928431047072
