0,1,2,3,4,5,6,7,8,9,10
0.421124,0.60162,0.989978,1.23975,1.45588,1.55327,1.52117,1.31795,0.950792,0.595079,0.397368
0.465263,0.757698,1.15326,1.38991,1.77071,1.86816,1.82482,1.44811,1.17358,0.64937,0.494102
0.514238,0.727204,1.18972,1.60235,1.93303,2.07333,1.97496,1.5466,1.14091,0.7461,0.464422
0.376518,0.633544,1.06833,1.52739,1.91391,2.19313,1.98873,1.50106,1.03895,0.729299,0.445395
0.342373,0.565361,0.943522,1.50018,1.82469,2.04507,1.89094,1.52854,1.082,0.689461,0.38722
0.341315,0.53354,0.926185,1.42038,1.7686,2.03373,1.93751,1.43054,0.958461,0.59324,0.38137
0.338006,0.490933,0.833336,1.32038,1.65821,1.76358,1.67983,1.32632,0.852574,0.495437,0.375989
0.656493,1.05084,1.91931,2.77392,3.50923,3.7006,3.60808,2.77351,1.93817,1.21259,0.688706
0.819366,1.43875,2.4509,3.83105,5.10083,5.46798,5.25138,3.89124,2.62464,1.47104,0.844252
0.945571,1.59603,2.90154,4.72564,6.33114,6.57649,6.23979,4.69351,3.07121,1.53626,0.925961
0.881684,1.66112,3.20362,5.43572,6.85266,7.61961,6.9618,5.31133,3.28439,1.83903,0.979065
1.09286,2.17101,3.86056,6.28628,8.22204,9.00282,8.34667,6.20783,4.11021,2.16839,1.18449
1.56001,2.73093,4.89285,7.33079,9.20235,10.2834,9.37091,7.28199,5.05122,2.66418,1.48062
1.4448,2.71999,4.79915,7.01282,8.89852,9.63581,9.00227,7.04059,4.77255,2.6211,1.38569
0.97381,1.84428,3.28377,5.01017,6.37417,6.80044,6.38773,4.99394,3.37377,1.98966,1.00083
0.588267,1.10462,2.16743,3.2789,4.00403,4.36805,3.97104,3.10212,2.11671,1.14387,0.61635
1.64358,3.33784,6.09191,9.20965,11.6295,12.5208,11.6623,9.09062,6.05425,3.48562,1.64382
3.00212,6.1478,11.238,16.4372,20.1928,21.5492,19.9927,16.8206,11.1204,6.26662,3.05091
3.47614,7.67625,14.7601,22.7614,29.4085,31.5443,29.7183,22.9234,15.0264,7.58847,3.59167
2.84014,6.09579,12.5835,21.6474,29.6979,31.5224,28.8437,21.7734,13.2756,6.52274,2.98701
2.54018,5.70022,11.4965,21.0077,28.105,31.0833,28.2754,20.8024,12.5361,5.90804,2.81065
2.49286,5.29591,10.719,17.3582,22.2477,24.6336,22.7744,17.5466,11.0376,5.52822,2.48484
5.03914,12.2713,24.9575,41.0556,53.4089,58.6957,54.2613,40.9076,25.7437,12.7049,5.56512
5.07032,12.2894,26.886,47.5765,64.8128,71.9622,66.0386,48.191,28.2175,13.0927,5.49664
6.18757,15.3224,33.7587,58.7376,81.2354,89.9181,81.2036,60.5603,35.1876,16.537,6.7627
8.25255,20.4517,43.298,72.2335,96.0149,105.369,96.5797,73.8743,44.8439,21.4086,8.60588
10.7461,28.5334,65.6893,114.397,157.454,175.468,160.202,118.108,67.8905,30.8245,11.8422
11.236,30.6245,67.9531,115.112,154.077,170.155,155.022,115.802,69.5582,32.2493,12.8071
19.3046,53.7039,123.556,212.717,286.694,311.678,288.035,219.667,129.748,57.8328,21.5611
21.1545,60.9491,143.754,251.626,341.494,374.635,343.34,258.428,149.814,65.5869,23.1186
25.4346,72.6069,168.932,284.963,375.728,411.191,378.586,292.842,174.301,77.4106,27.7125
37.8046,110.012,250.083,415.698,544.796,586.54,549.477,426.903,260.428,118.276,41.1851
40.1348,117.583,276.786,454.615,595.456,646.938,596.414,467.127,286.86,126.153,43.5129
42.125,122.689,277.625,452.423,577.651,619.985,578.781,457.244,287.038,131.783,46.4819
61.6098,181.716,403.376,631.67,789.956,844.353,793.039,646.153,419.845,197.922,67.9371
66.8954,197.014,419.557,647.978,795.09,844.089,798.149,660.349,435.978,213.784,73.528
88.6671,260.205,539.555,802.185,962.708,1012.42,966.933,819.629,569.823,285.004,98.043
105.089,306.421,602.531,871.217,1020.78,1067.57,1024.17,893.51,642.043,330.958,119.876
95.863,270.629,529.518,749.731,879.797,914.547,881.525,770.619,552.618,294.305,105.971
57.5314,157.365,300.134,417.796,486.132,507.068,488.275,421.903,305.092,168.75,63.7436
49.3631,134.581,248.476,333.16,382.678,397.42,381.935,337.245,250.477,139.151,52.7495
36.3016,95.553,169.431,227.475,257.394,266.805,257.469,228.928,170.492,98.5594,39.4901
24.1137,61.4206,103.991,130.767,145.595,147.186,144.115,132.289,103.755,62.9776,25.8572
36.0109,96.5922,165.099,208.287,232.605,236.013,230.191,209.943,166.583,98.2413,38.606
42.7697,112.25,199.595,263.082,298.487,305.525,294.741,263.632,203.239,117.28,46.7516
27.6473,71.2674,119.478,151.445,167.938,170.574,165.987,151.164,121.344,72.3249,29.7938
22.6299,56.5038,92.0316,110.199,119.317,121.214,119.419,110.142,90.6541,56.9505,24.5848
15.5991,36.6778,59.7771,72.9989,78.8924,80.7156,77.4022,72.352,58.7485,37.4187,16.4335
