,p,z,mdens_sum,mdens_to_divide,serpent_burnup,mdens_ratio,corrected_burnup
fuelP1Z1,1,1,13.41103466237961,13.41103466237961,0.0181668,1.0,0.0181668
fuelP2Z1,2,1,13.471117983239523,13.41103466237961,0.0213567,1.0044801405985817,0.0213567
fuelP3Z1,3,1,13.470791399323623,13.41103466237961,0.0218747,1.0044557887179013,0.021972701731551796
fuelP4Z1,4,1,13.470524107549354,13.41103466237961,0.0200041,1.0044358579831743,0.02009323404309177
fuelP5Z1,5,1,13.470347903977823,13.41103466237961,0.018662,1.0044227192823978,0.018744781981681998
fuelP6Z1,6,1,13.470068874183893,13.41103466237961,0.017222,1.004401913296808,0.017298168071481455
fuelP7Z1,7,1,13.46985655179084,13.41103466237961,0.0158927,1.0043860813794059,0.01596265828745218
fuelP8Z1,8,1,13.469414022979507,13.41103466237961,0.0314774,1.004353084013992,0.03161546243801212
fuelP9Z1,9,1,13.468922784895645,13.41103466237961,0.0402632,1.0043164546191519,0.04043846909227216
fuelP10Z1,10,1,13.468342174770239,13.41103466237961,0.0454223,1.0042731611567142,0.0456183632966475
fuelP11Z1,11,1,13.467663871390783,13.41103466237961,0.0482892,1.0042225831516214,0.0484955475337288
fuelP12Z1,12,1,13.466992772740905,13.41103466237961,0.0563531,1.0041725423705203,0.056591055650601636
fuelP13Z1,13,1,13.466024291067967,13.41103466237961,0.0702375,1.004100327086814,0.07053056894474942
fuelP14Z1,14,1,13.465117300862415,13.41103466237961,0.067493,1.004032696942803,0.06776974337607033
fuelP15Z1,15,1,13.464409254260515,13.41103466237961,0.0478857,1.0039799011205772,0.048078808515993984
fuelP16Z1,16,1,13.464006626223552,13.41103466237961,0.0307376,1.0039498789748518,0.030859932608683856
fuelP17Z1,17,1,13.462890101700875,13.41103466237961,0.0815,1.0038666248076094,0.08182191513645043
fuelP18Z1,18,1,13.460974688163438,13.41103466237961,0.145909,1.0037238011116263,0.1464731753590535
fuelP19Z1,19,1,13.458564040298436,13.41103466237961,0.179565,1.003544050039044,0.18023366434660917
fuelP20Z1,20,1,13.45651965296785,13.41103466237961,0.153451,1.0033916093525457,0.15399483802254135
fuelP21Z1,21,1,13.454655398941663,13.41103466237961,0.142498,1.0032526003891717,0.14298129754951908
fuelP22Z1,22,1,13.452846517265865,13.41103466237961,0.129308,1.0031177202907056,0.12972858725112302
fuelP23Z1,23,1,13.44904081138412,13.41103466237961,0.282345,1.0028339460721196,0.28322527273547926
fuelP24Z1,24,1,13.445147470916531,13.41103466237961,0.292311,1.0025436373401237,0.29313939361028735
fuelP25Z1,25,1,13.440104865865402,13.41103466237961,0.363198,1.00216763316311,0.3641218439946583
fuelP26Z1,26,1,13.433725247853786,13.41103466237961,0.465131,1.0016919339965489,0.4661392333807905
fuelP27Z1,27,1,13.424960312276255,13.41103466237961,0.656318,1.001038372522868,0.6574284467367469
fuelP28Z1,28,1,13.415811895730872,13.41103466237961,0.675599,1.0003562166135223,0.676300523438077
fuelP29Z1,29,1,13.399649565394327,13.41103466237961,1.18825,0.999151064979556,1.1886732743910178
fuelP30Z1,30,1,13.381389589391295,13.41103466237961,1.34701,0.9977895014266517,1.3458664760381118
fuelP31Z1,31,1,13.360060055582542,13.41103466237961,1.57358,0.9961990548767978,1.5701016036549504
fuelP32Z1,32,1,13.328172834503135,13.41103466237961,2.36444,0.9938213694944121,2.3554528933128958
fuelP33Z1,33,1,13.293954499067686,13.41103466237961,2.5347,0.9912698634923109,2.5190390252574866
fuelP34Z1,34,1,13.258178529499954,13.41103466237961,2.65809,0.9886022117809863,2.634884511450277
fuelP35Z1,35,1,13.20527406207231,13.41103466237961,3.8893,0.9846573657076216,3.8449705822797897
fuelP36Z1,36,1,13.149255678437875,13.41103466237961,4.19027,0.9804803290326233,4.125980219803676
fuelP37Z1,37,1,13.07394380593823,13.41103466237961,5.58668,0.9748646644403224,5.477629844599976
fuelP38Z1,38,1,12.985228748412245,13.41103466237961,6.67215,0.968249585159762,6.504443270845497
fuelP39Z1,39,1,12.907231679698597,13.41103466237961,5.97504,0.962433697670302,5.7853300013129845
fuelP40Z1,40,1,12.860126658922754,13.41103466237961,3.56027,0.95892129001782,3.426523820804646
fuelP41Z1,41,1,12.820968285096322,13.41103466237961,2.98785,0.9560014277691392,2.8651129763797436
fuelP42Z1,42,1,12.792376269876852,13.41103466237961,2.17177,0.9538694509351909,2.0762152207861835
fuelP43Z1,43,1,12.774951174984855,13.41103466237961,1.38772,0.9525701406783262,1.3237037144517831
fuelP44Z1,44,1,12.747423599281802,13.41103466237961,2.13152,0.9505175342690481,2.030422306258666
fuelP45Z1,45,1,12.713699558202315,13.41103466237961,2.58503,0.948002885554129,2.4571163416115174
fuelP46Z1,46,1,12.693315858892316,13.41103466237961,1.63016,0.9464829655909677,1.545396383914919
fuelP47Z1,47,1,12.67642115507425,13.41103466237961,1.28135,0.9452232041897495,1.2127759479599864
fuelP48Z1,48,1,12.664888667032733,13.41103466237961,0.861264,0.9443632788870532,0.8140867177332805
fuelP1Z2,1,2,13.493676377054019,13.493676377054019,0.0254149,1.0,0.024000898296586567
fuelP2Z2,2,2,13.470847578906076,13.493676377054019,0.0307735,0.9983081854410883,0.0307735
fuelP3Z2,3,2,13.470507363241667,13.493676377054019,0.0312167,0.99828297247059,0.031163887132458823
fuelP4Z2,4,2,13.470091977064277,13.493676377054019,0.0279755,0.9982521887044922,0.02792746529635099
fuelP5Z2,5,2,13.469722759178303,13.493676377054019,0.0265551,0.9982248264145086,0.026508686696266662
fuelP6Z2,6,2,13.46947302840151,13.493676377054019,0.0246623,0.9982063191693505,0.02461852013648254
fuelP7Z2,7,2,13.469125461058677,13.493676377054019,0.0228666,0.9981805613748755,0.022825584617917873
fuelP8Z2,8,2,13.468448485789532,13.493676377054019,0.0494157,0.9981303915582719,0.049325791166732434
fuelP9Z2,9,2,13.467615222452382,13.493676377054019,0.0657269,0.9980686394223924,0.06560401643291139
fuelP10Z2,10,2,13.466607803892941,13.493676377054019,0.0743613,0.9979939808540904,0.07421768151668036
fuelP11Z2,11,2,13.465488716515113,13.493676377054019,0.080828,0.9979110466450167,0.08066585748447441
fuelP12Z2,12,2,13.464241734128011,13.493676377054019,0.097561,0.997818634291833,0.09735719962173447
fuelP13Z2,13,2,13.462601979256156,13.493676377054019,0.121914,0.9976971140459019,0.12164806098105453
fuelP14Z2,14,2,13.460988254906527,13.493676377054019,0.118227,0.9975775228904201,0.11795473670230484
fuelP15Z2,15,2,13.459948644128675,13.493676377054019,0.0812672,0.9975004785958334,0.08107033206824035
fuelP16Z2,16,2,13.45922023409533,13.493676377054019,0.0501809,0.9974464970112014,0.05005547176636965
fuelP17Z2,17,2,13.457288603378151,13.493676377054019,0.150591,0.9973033462001694,0.15020646543141383
fuelP18Z2,18,2,13.453527202541627,13.493676377054019,0.277224,0.9970245933435409,0.27647642284699575
fuelP19Z2,19,2,13.448719475477898,13.493676377054019,0.352113,0.9966682985185141,0.35106532063597423
fuelP20Z2,20,2,13.444528081219723,13.493676377054019,0.310157,0.9963576793706218,0.3091236494636068
fuelP21Z2,21,2,13.44073851098713,13.493676377054019,0.285216,0.9960768389141961,0.2841771518793713
fuelP22Z2,22,2,13.437241004885545,13.493676377054019,0.257675,0.9958176429764951,0.25666409946721547
fuelP23Z2,23,2,13.429108143160668,13.493676377054019,0.60057,0.9952149264522789,0.5980582018423937
fuelP24Z2,24,2,13.42023400752522,13.493676377054019,0.644264,0.9945572750170822,0.641181149375851
fuelP25Z2,25,2,13.409381146537822,13.493676377054019,0.802964,0.9937529826445562,0.7985936877768164
fuelP26Z2,26,2,13.39544298015545,13.493676377054019,1.03729,0.9927200420290488,1.0308100313673718
fuelP27Z2,27,2,13.374219511478898,13.493676377054019,1.55639,0.9911471964913686,1.5450595462135912
fuelP28Z2,28,2,13.352440036220631,13.493676377054019,1.61116,0.9895331459798784,1.5968967170990334
fuelP29Z2,29,2,13.312075928949438,13.493676377054019,2.95947,0.9865418109171944,2.928493659533071
fuelP30Z2,30,2,13.265968210481725,13.493676377054019,3.41431,0.9831248237908305,3.368359570432686
fuelP31Z2,31,2,13.211691446297927,13.493676377054019,4.00539,0.9791024385885223,3.937798337963555
fuelP32Z2,32,2,13.130721316348774,13.493676377054019,6.04101,0.9731018404055956,5.914767622537649
fuelP33Z2,33,2,13.042246685815227,13.493676377054019,6.62992,0.9665450927809083,6.451587353741866
fuelP34Z2,34,2,12.951267405048645,13.493676377054019,6.80739,0.9598027285634522,6.579649399145827
fuelP35Z2,35,2,12.818230326378579,13.493676377054019,10.0284,0.949943511923553,9.625285683125723
fuelP36Z2,36,2,12.67882514317971,13.493676377054019,10.6794,0.9396123627760954,10.144826741236391
