,0,1,2,3,4,5,6,7,8,9,10,avg w/cm3,,,,,
U1,0.211549,0.313969,0.434011,0.556541,0.627855,0.669671,0.632382,0.552914,0.428766,0.313986,0.21975,0.451035818,,,,,
U2,0.24541,0.36543,0.551174,0.693651,0.810673,0.838608,0.834027,0.713844,0.5628,0.397175,0.254396,0.569744364,,,,,
U3,0.260245,0.369556,0.559633,0.762091,0.899865,0.939287,0.897298,0.772345,0.575528,0.374666,0.267224,0.607067091,,,,,
U4,0.235409,0.341954,0.52419,0.740947,0.923883,0.950371,0.914576,0.743123,0.560275,0.349371,0.239128,0.593020636,,,,,
U5,0.206725,0.321173,0.505434,0.723429,0.89429,0.944157,0.892849,0.707088,0.526654,0.329757,0.217788,0.569940364,,,,,
U6,0.210096,0.303669,0.486129,0.701642,0.848938,0.903212,0.830084,0.681435,0.467578,0.311872,0.213121,0.541616,,,,,
U7,0.188198,0.275744,0.444962,0.59652,0.736834,0.793328,0.740719,0.605251,0.443433,0.286703,0.193741,0.482312091,,,,,
U8,0.382417,0.597746,0.966656,1.32354,1.604,1.69142,1.62167,1.35922,0.965762,0.604863,0.361117,1.043491909,,,,,
U9,0.483537,0.805527,1.32725,1.9052,2.34929,2.49176,2.32899,1.90027,1.298,0.791791,0.489582,1.470108818,,,,,
U10,0.545027,0.879393,1.54283,2.30873,2.9043,3.149,2.93286,2.33428,1.54009,0.904042,0.556832,1.781580364,,,,,
U11,0.566863,0.937264,1.69268,2.63164,3.34315,3.61011,3.34085,2.62131,1.71264,0.964983,0.581448,2.000267091,,,,,
U12,0.678926,1.19152,2.05379,3.04616,3.78629,4.1238,3.81014,2.99634,2.08361,1.16553,0.713155,2.331751,,,,,
U13,0.851375,1.47727,2.45967,3.49501,4.32313,4.63537,4.31122,3.52313,2.45964,1.49061,0.835707,2.714739273,,,,,
U14,0.795939,1.46087,2.39691,3.3343,4.05032,4.30292,4.0973,3.35392,2.35552,1.45143,0.820764,2.583653909,,,,,
U15,0.569978,0.993734,1.6684,2.38191,2.89205,3.12333,2.88824,2.35188,1.67919,0.991844,0.586612,1.829742545,,,,,
U16,0.373112,0.611586,0.999817,1.50063,1.82533,1.94106,1.85722,1.47735,1.02997,0.605408,0.37855,1.145457545,,,,,
U17,0.97989,1.82156,3.07286,4.33134,5.2434,5.63458,5.24261,4.3262,3.0704,1.80977,0.992184,3.320435818,,,,,
U18,1.73275,3.37876,5.51133,7.65739,9.11483,9.61923,9.11046,7.56417,5.45567,3.33586,1.76646,5.840628182,,,,,
U19,2.12827,4.20039,7.5497,11.0376,13.5926,14.5843,13.6165,10.9343,7.48013,4.21595,2.13338,8.315738182,,,,,
U20,1.83669,3.61347,6.92423,10.9492,14.1012,15.359,14.1323,10.9363,6.95956,3.64245,1.79727,8.204697273,,,,,
U21,1.69781,3.3297,6.61002,10.3766,13.7905,15.1324,13.8815,10.5349,6.55423,3.37707,1.68643,7.906469091,,,,,
U22,1.59967,3.16514,5.68247,8.50654,10.6016,11.4269,10.6157,8.44289,5.64236,3.08674,1.57114,6.39465,,,,,
U23,3.43599,7.17001,13.3187,20.1279,25.4963,27.4736,25.3633,19.9458,13.3616,7.18579,3.32111,15.1091,,,,,
U24,3.44588,7.48832,15.2286,24.5175,32.0842,34.9675,32.0394,24.3294,15.0256,7.56837,3.4777,18.19749727,,,,,
U25,4.18197,9.33099,18.9409,30.4716,39.9851,43.4503,40.2577,30.4848,19.0596,9.42569,4.24021,22.71171455,,,,,
U26,5.53474,12.2803,23.6386,36.8525,46.5737,50.4874,46.5905,36.639,23.6719,12.1843,5.34572,27.25442364,,,,,
U27,7.63942,18.0729,37.2645,60.5716,78.9531,86.1578,79.0435,60.3697,37.2228,17.9616,7.58739,44.62221,,,,,
U28,7.98697,18.8862,37.7571,59.1432,75.458,81.2109,74.6443,58.5869,37.6638,19.0849,7.99166,43.49217545,,,,,
U29,13.7546,34.3222,70.5552,110.48,140.994,152.449,140.588,110.274,69.9639,34.5292,13.6997,81.05543636,,,,,
U30,15.4952,39.8286,82.083,131.494,168.692,182.21,168.097,130.715,82.1042,39.475,15.3856,95.96178182,,,,,
U31,18.3763,46.6236,94.5516,146.583,184.599,197.852,183.971,146.122,94.2653,46.3473,18.1536,107.0404273,,,,,
U32,27.4823,70.653,140.936,213.265,264.46,280.335,261.108,211.54,140.349,70.4115,27.2111,155.2500818,,,,,
U33,29.5676,77.673,155.158,235.094,289.538,307.994,287.547,233.214,154.658,76.6805,29.117,170.5673727,,,,,
U34,31.2736,79.6198,154.928,228.961,278.46,293.248,275.251,227.114,154.123,79.2123,30.6665,166.6233818,,,,,
U35,45.2941,117.095,222.345,316.47,374.82,391.468,371.047,312.909,220.229,115.816,44.702,230.1995545,,,,,
U36,48.6439,124.591,230.324,320.725,374.511,390.369,370.863,317.106,227.456,122.838,47.9813,234.1280182,,,,,
U37,65.3413,164.78,291.892,390.59,444.638,457.129,439.379,385.46,288.959,162.397,64.0331,286.7816727,,,,,
U38,77.7264,188.861,322.079,418.695,466.726,478.694,461.393,410.694,317.94,186.767,75.8066,309.5801818,,,,,
U39,69.4372,166.35,278.555,358.944,400.97,411.324,397.237,353.735,275.603,164.108,68.2947,267.6870818,,,,,
U40,41.4451,94.0928,153.754,197.776,222.677,229.977,221.035,196.534,153.242,93.8981,40.8855,149.5742273,,,,,
U41,34.8324,78.1099,123.302,154.909,172.207,176.723,171.804,154.808,123.63,77.5677,34.2701,118.3784636,,,,,
U42,25.1534,54.229,83.928,104.353,115.462,118.601,115.258,103.876,83.9605,54.2566,24.9605,80.36709091,,,,,
U43,16.093,33.3119,48.7484,58.4297,62.3192,63.4267,62.2785,57.8706,49.1505,33.4508,16.0554,45.5577,,,,,
U44,24.6686,53.0276,78.1007,93.0294,99.482,101.213,99.178,92.4343,78.4364,52.9082,24.8944,72.48841818,,,,,
U45,29.7882,64.4675,98.2525,119.291,129.934,133.499,129.762,119.278,98.3265,64.4552,29.7617,92.43778182,,,,,
U46,18.846,38.7854,56.5285,66.6865,71.0615,72.5407,70.8384,66.0688,56.5181,39.0148,18.8423,52.33918182,,,,,
U47,14.8097,29.6502,41.5228,47.3263,49.5021,50.0836,49.3184,47.2694,41.5965,29.8525,14.8545,37.79872727,,,,,
U48,10.0245,19.3952,27.1015,31.3292,32.9393,33.712,33.1436,31.2813,27.2497,19.5594,9.96089,25.06332636,,Vol of fuel of 6 FA,,,power
,,,,,,,,,,,33120.61694,,,1.27E+04,,,4.20E+08
,,,,,,,,,,,w/cm2,,,cm3,,,
