0,1,2,3,4,5,6,7,8,9,10
5291020000000.0,8746060000000.0,12851700000000.0,16801400000000.0,18929000000000.0,20093500000000.0,18753700000000.0,16241600000000.0,12812800000000.0,8284820000000.0,4914350000000.0
6727240000000.0,11051100000000.0,15996700000000.0,20498800000000.0,23834300000000.0,25102400000000.0,24141800000000.0,20198400000000.0,15948900000000.0,10591800000000.0,6119040000000.0
5947670000000.0,9977850000000.0,14977300000000.0,20614700000000.0,24856100000000.0,25446300000000.0,23997000000000.0,20254800000000.0,14799900000000.0,9540710000000.0,5858430000000.0
4903920000000.0,8082360000000.0,13223900000000.0,18014000000000.0,22479000000000.0,23976100000000.0,22769000000000.0,18023400000000.0,12702900000000.0,7723240000000.0,4698970000000.0
4408520000000.0,7515690000000.0,11929100000000.0,16803300000000.0,20814900000000.0,21913400000000.0,20605400000000.0,16445900000000.0,11583600000000.0,7186350000000.0,4191510000000.0
4263180000000.0,6665450000000.0,11173400000000.0,15535200000000.0,18927500000000.0,20215900000000.0,18625700000000.0,15051800000000.0,10647500000000.0,6579190000000.0,4233850000000.0
3861920000000.0,6167110000000.0,9481770000000.0,12855100000000.0,15489000000000.0,16503700000000.0,15439800000000.0,12964400000000.0,9283360000000.0,5897450000000.0,3546190000000.0
9016080000000.0,16228200000000.0,24501900000000.0,32953400000000.0,38179600000000.0,40474100000000.0,37691700000000.0,32091100000000.0,23933600000000.0,15442200000000.0,8775290000000.0
11471800000000.0,20143600000000.0,32072500000000.0,44582100000000.0,54288200000000.0,57290500000000.0,54141300000000.0,44858700000000.0,31750800000000.0,19534000000000.0,10906000000000.0
12034300000000.0,20927500000000.0,34661000000000.0,49802700000000.0,62544400000000.0,66398000000000.0,61048300000000.0,50288000000000.0,34158700000000.0,20768900000000.0,11082500000000.0
11778600000000.0,21969400000000.0,36227800000000.0,52623600000000.0,65613500000000.0,69496000000000.0,64786600000000.0,52353200000000.0,35079200000000.0,20629000000000.0,11286900000000.0
14394700000000.0,26848600000000.0,42357500000000.0,59492000000000.0,71881500000000.0,75768400000000.0,70299400000000.0,59081800000000.0,41915500000000.0,25301700000000.0,14175300000000.0
19217300000000.0,34440200000000.0,52234500000000.0,68454000000000.0,78891500000000.0,82663000000000.0,78686200000000.0,67784900000000.0,51148000000000.0,34004900000000.0,18702700000000.0
18062200000000.0,32532100000000.0,48361000000000.0,61710400000000.0,69497300000000.0,73078500000000.0,70183400000000.0,61126300000000.0,47471500000000.0,31378300000000.0,17838800000000.0
11808500000000.0,20235300000000.0,31117900000000.0,39757000000000.0,45124200000000.0,46968900000000.0,44803500000000.0,39480700000000.0,30131000000000.0,19647400000000.0,11103300000000.0
6248100000000.0,11038900000000.0,16834100000000.0,22092600000000.0,25250200000000.0,26828400000000.0,24416700000000.0,20756100000000.0,16513800000000.0,10590300000000.0,6323080000000.0
21256700000000.0,38366600000000.0,57498000000000.0,74167900000000.0,84283100000000.0,87557700000000.0,83411400000000.0,72871900000000.0,56240500000000.0,37737700000000.0,20222000000000.0
38907900000000.0,71412000000000.0,104855000000000.0,129248000000000.0,145812000000000.0,150225000000000.0,146227000000000.0,129463000000000.0,102907000000000.0,68570400000000.0,36880100000000.0
43915600000000.0,83255900000000.0,129512000000000.0,172830000000000.0,200498000000000.0,210164000000000.0,200224000000000.0,171781000000000.0,128292000000000.0,81365200000000.0,41453300000000.0
33010300000000.0,64090800000000.0,107522000000000.0,152611000000000.0,187222000000000.0,198575000000000.0,186496000000000.0,152049000000000.0,104905000000000.0,61271400000000.0,31307800000000.0
