0,1,2,3,4,5,6,7,8,9,10
0.484479,0.69446,1.00165,1.30099,1.48615,1.5232,1.4663,1.28044,0.968144,0.678644,0.470941
0.555177,0.838761,1.26304,1.63765,1.88057,1.94211,1.89306,1.6205,1.20932,0.834885,0.548478
0.584524,0.863807,1.29166,1.69126,2.01462,2.18092,2.09325,1.71644,1.24836,0.819135,0.561152
0.511122,0.775426,1.21469,1.6866,2.04956,2.22764,2.0895,1.64016,1.17835,0.727975,0.521409
0.495033,0.694154,1.14408,1.60607,2.00266,2.2081,2.02578,1.59392,1.10774,0.689883,0.455393
0.460706,0.691972,1.09084,1.53422,1.92572,2.08139,1.89626,1.56479,1.04471,0.636777,0.428783
0.420696,0.604088,0.971642,1.36792,1.73851,1.81898,1.705,1.37159,0.970441,0.585348,0.404133
0.817375,1.32857,2.18265,3.03392,3.76388,4.01011,3.71027,3.01743,2.16838,1.3003,0.790487
1.05237,1.73902,2.93514,4.25755,5.36992,5.74614,5.24878,4.2526,2.92258,1.69497,1.03171
1.17566,1.99808,3.46321,5.13247,6.68347,7.24159,6.58988,5.16267,3.3189,1.89239,1.12344
1.24615,2.13158,3.80039,5.81264,7.53258,8.32347,7.61465,5.81442,3.71723,2.03537,1.19134
1.49787,2.60998,4.56372,6.88533,8.76346,9.39959,8.72158,6.78329,4.49173,2.5139,1.43281
1.87146,3.26451,5.58454,8.10277,10.0326,10.7134,10.001,7.9701,5.50995,3.22693,1.77316
1.81698,3.16394,5.39071,7.71303,9.46846,9.91398,9.52946,7.67641,5.25361,3.13607,1.72251
1.26226,2.21858,3.76989,5.42924,6.80146,7.16163,6.64312,5.36144,3.64989,2.1085,1.19891
0.822272,1.3891,2.31886,3.44787,4.21882,4.52976,4.27138,3.3484,2.2518,1.32395,0.771656
2.18912,4.06838,6.94739,9.96952,12.2207,12.9451,12.1022,9.88035,6.84602,3.86611,2.05764
3.87088,7.57451,12.7229,17.7766,21.1582,22.3055,21.0441,17.3421,12.296,7.17737,3.64225
4.75534,9.45701,16.9825,25.298,31.4086,33.4548,31.093,24.6301,16.4759,9.08653,4.43271
3.99205,7.99989,15.5107,24.6543,32.1902,34.9487,32.0205,24.2705,15.1203,7.66694,3.7784
3.60451,7.35623,14.528,23.6836,31.2972,34.3607,31.2495,23.2976,14.1408,6.9981,3.49137
3.43427,6.90019,12.8464,19.381,24.5529,26.238,24.3317,18.9409,12.3902,6.61852,3.27032
7.30973,15.7871,30.153,45.6504,58.1233,62.9247,58.0767,45.344,29.2999,15.1348,6.94051
7.48407,16.5634,33.9481,55.3484,73.0943,79.5666,72.1016,54.4695,32.9023,15.8343,7.03301
9.19564,20.5092,42.0256,69.0701,91.1428,99.3327,90.8272,68.0485,40.8671,19.6982,8.73515
11.7391,27.0911,53.0637,83.4339,106.703,115.094,106.026,82.0814,51.5756,25.9534,11.2195
16.206,39.454,83.1274,136.449,179.846,196.08,178.186,134.414,80.5241,37.7374,15.5322
16.972,41.7944,84.9471,133.623,172.2,185.419,170.778,132.016,82.4296,40.0157,16.1846
29.5197,75.7614,157.019,250.023,322.272,346.551,319.446,246.535,152.441,72.4523,27.7442
33.0343,86.1514,183.252,297.673,383.218,414.318,379.764,291.546,177.829,82.5793,31.4673
38.834,101.735,211.188,332.765,419.978,449.346,416.336,325.703,204.979,97.3036,36.8864
58.4097,153.499,314.124,482.889,600.661,637.997,596.167,475.211,306.153,147.226,55.1505
62.3559,167.758,345.801,531.476,658.966,699.639,652.756,522.773,336.546,161.243,58.8352
65.9586,173.639,346.778,517.462,633.778,668.738,627.293,509.966,337.753,166.443,62.1607
96.2871,255.754,496.645,717.084,854.285,898.215,850.548,709.03,484.153,245.231,90.8614
103.823,271.874,515.49,727.571,855.769,893.374,851.49,720.259,503.445,261.839,97.9364
138.273,359.667,657.715,890.227,1017.5,1054.22,1013.81,882.837,642.182,347.667,131.536
165.542,415.576,728.654,955.714,1071.05,1104.03,1067.65,947.093,715.212,402.733,157.137
147.981,365.587,629.877,821.255,920.633,948.59,917.487,813.026,618.863,354.105,140.93
88.5346,208.871,349.802,453.701,515.08,531.09,511.897,451.043,343.865,201.548,83.8531
74.1216,172.876,282.725,358.948,399.783,410.953,398.535,354.647,276.815,167.604,70.3094
54.0232,121.751,192.941,242.254,268.183,275.71,267.192,239.719,189.386,117.547,51.0991
35.0379,75.3458,113.4,136.045,146.845,149.946,146.593,135.186,111.696,73.0888,33.2304
53.8411,119.569,181.659,217.876,233.746,238.136,232.708,215.295,178.892,115.811,51.3021
64.725,144.672,226.098,278.551,305.423,313.316,305.1,276.807,222.693,140.232,61.821
40.8936,87.9538,131.244,156.348,167.79,170.947,168.123,155.277,129.62,85.3937,39.0569
32.8554,67.5286,97.0617,112.319,117.462,118.864,117.635,111.186,95.5799,65.8405,30.8904
21.9734,44.1973,63.6399,73.8452,78.5744,80.0844,78.6085,73.5833,62.5071,42.9351,20.8167
