Folder Name,Step,K-eff,error
wh_lfrsuffleNo0,0,0.287483,0.00018
wh_lfrsuffleNo0,0,0.32745,0.00017
wh_lfrsuffleNo0,0,0.614819,0.00013
wh_lfrsuffleNo0,0,0.766028,0.00012
wh_lfrsuffleNo0,0,0.848253,0.00011
wh_lfrsuffleNo1,1,0.826271,0.00011
wh_lfrsuffleNo1,1,0.835362,0.00011
wh_lfrsuffleNo1,1,0.883799,0.00011
wh_lfrsuffleNo1,1,0.909336,0.00011
wh_lfrsuffleNo1,1,0.928801,0.0001
wh_lfrsuffleNo10,10,0.9817,0.0001
wh_lfrsuffleNo10,10,0.982116,9.6e-05
wh_lfrsuffleNo10,10,0.984374,9.6e-05
wh_lfrsuffleNo10,10,0.98561,9.8e-05
wh_lfrsuffleNo10,10,0.986717,0.0001
wh_lfrsuffleNo11,11,0.983843,9.5e-05
wh_lfrsuffleNo11,11,0.983949,0.0001
wh_lfrsuffleNo11,11,0.985897,9.5e-05
wh_lfrsuffleNo11,11,0.987134,0.0001
wh_lfrsuffleNo11,11,0.988184,9.8e-05
wh_lfrsuffleNo12,12,0.985431,9.6e-05
wh_lfrsuffleNo12,12,0.985826,0.0001
wh_lfrsuffleNo12,12,0.987659,9.5e-05
wh_lfrsuffleNo12,12,0.988952,9.5e-05
wh_lfrsuffleNo12,12,0.98973,0.0001
wh_lfrsuffleNo13,13,0.987064,9.9e-05
wh_lfrsuffleNo13,13,0.987105,9.6e-05
wh_lfrsuffleNo13,13,0.989219,9.8e-05
wh_lfrsuffleNo13,13,0.990198,9.7e-05
wh_lfrsuffleNo13,13,0.990821,9.2e-05
wh_lfrsuffleNo14,14,0.988548,0.0001
wh_lfrsuffleNo14,14,0.988555,9.7e-05
wh_lfrsuffleNo14,14,0.990322,9.6e-05
wh_lfrsuffleNo14,14,0.991244,0.0001
wh_lfrsuffleNo14,14,0.99198,9.6e-05
wh_lfrsuffleNo15,15,0.989868,9.8e-05
wh_lfrsuffleNo15,15,0.989963,9.4e-05
wh_lfrsuffleNo15,15,0.991587,9.9e-05
wh_lfrsuffleNo15,15,0.992504,9.9e-05
wh_lfrsuffleNo15,15,0.993404,9.5e-05
wh_lfrsuffleNo16,16,0.991036,9.9e-05
wh_lfrsuffleNo16,16,0.991335,0.0001
wh_lfrsuffleNo16,16,0.992855,9.6e-05
wh_lfrsuffleNo16,16,0.993793,9.4e-05
wh_lfrsuffleNo16,16,0.994351,9.7e-05
wh_lfrsuffleNo17,17,0.99251,0.0001
wh_lfrsuffleNo17,17,0.9926,9.7e-05
wh_lfrsuffleNo17,17,0.994316,9.6e-05
wh_lfrsuffleNo17,17,0.995011,9.4e-05
wh_lfrsuffleNo17,17,0.995577,9.9e-05
wh_lfrsuffleNo18,18,0.993649,0.0001
wh_lfrsuffleNo18,18,0.993891,0.0001
wh_lfrsuffleNo18,18,0.995149,9.7e-05
wh_lfrsuffleNo18,18,0.996004,9.6e-05
wh_lfrsuffleNo18,18,0.996492,9.4e-05
wh_lfrsuffleNo19,19,0.994888,9.8e-05
wh_lfrsuffleNo19,19,0.994817,9.7e-05
wh_lfrsuffleNo19,19,0.996363,9e-05
wh_lfrsuffleNo19,19,0.997122,9.4e-05
wh_lfrsuffleNo19,19,0.997513,9.5e-05
wh_lfrsuffleNo2,2,0.912596,0.00011
wh_lfrsuffleNo2,2,0.915776,0.00011
wh_lfrsuffleNo2,2,0.933535,0.00011
wh_lfrsuffleNo2,2,0.944424,0.0001
wh_lfrsuffleNo2,2,0.953665,0.0001
wh_lfrsuffleNo20,20,0.99603,9.7e-05
wh_lfrsuffleNo20,20,0.996303,9.5e-05
wh_lfrsuffleNo20,20,0.997324,9.5e-05
wh_lfrsuffleNo20,20,0.998275,9.2e-05
wh_lfrsuffleNo20,20,0.998568,9.3e-05
wh_lfrsuffleNo21,21,0.997058,9.7e-05
wh_lfrsuffleNo21,21,0.997411,9.1e-05
wh_lfrsuffleNo21,21,0.998441,9.5e-05
wh_lfrsuffleNo21,21,0.999008,9.8e-05
wh_lfrsuffleNo21,21,0.999844,9.2e-05
wh_lfrsuffleNo22,22,0.998109,0.0001
wh_lfrsuffleNo22,22,0.998489,9.6e-05
wh_lfrsuffleNo22,22,0.999328,0.0001
wh_lfrsuffleNo22,22,1.00004,9.7e-05
wh_lfrsuffleNo22,22,1.00057,9.3e-05
wh_lfrsuffleNo23,23,0.999174,9.7e-05
wh_lfrsuffleNo23,23,0.999147,9.5e-05
wh_lfrsuffleNo23,23,0.999853,9.7e-05
wh_lfrsuffleNo23,23,1.00072,9.4e-05
wh_lfrsuffleNo23,23,1.0015,9.6e-05
wh_lfrsuffleNo24,24,0.999751,9.5e-05
wh_lfrsuffleNo24,24,0.999767,9.4e-05
wh_lfrsuffleNo24,24,1.00079,9.4e-05
wh_lfrsuffleNo24,24,1.0014,9.2e-05
wh_lfrsuffleNo24,24,1.00175,9.2e-05
wh_lfrsuffleNo25,25,1.00015,9.6e-05
wh_lfrsuffleNo25,25,1.00023,9.1e-05
wh_lfrsuffleNo25,25,1.0012,9.3e-05
wh_lfrsuffleNo25,25,1.00179,9.4e-05
wh_lfrsuffleNo25,25,1.0023,9.8e-05
wh_lfrsuffleNo26,26,1.00061,9.7e-05
wh_lfrsuffleNo26,26,1.00098,9.6e-05
wh_lfrsuffleNo26,26,1.00174,9.5e-05
wh_lfrsuffleNo26,26,1.00198,9.3e-05
wh_lfrsuffleNo26,26,1.00297,9.9e-05
wh_lfrsuffleNo27,27,1.00094,9.5e-05
wh_lfrsuffleNo27,27,1.00107,9.8e-05
wh_lfrsuffleNo27,27,1.0019,9.7e-05
wh_lfrsuffleNo27,27,1.00258,9.5e-05
wh_lfrsuffleNo27,27,1.0029,9.4e-05
wh_lfrsuffleNo28,28,1.00135,0.0001
wh_lfrsuffleNo28,28,1.00119,9.2e-05
wh_lfrsuffleNo28,28,1.00224,9.5e-05
wh_lfrsuffleNo28,28,1.00276,9.3e-05
wh_lfrsuffleNo28,28,1.00327,9.3e-05
wh_lfrsuffleNo29,29,1.00182,9.4e-05
wh_lfrsuffleNo29,29,1.00165,9.4e-05
wh_lfrsuffleNo29,29,1.00265,9.3e-05
wh_lfrsuffleNo29,29,1.00329,9.8e-05
wh_lfrsuffleNo29,29,1.00327,9.4e-05
wh_lfrsuffleNo3,3,0.943012,0.0001
wh_lfrsuffleNo3,3,0.944496,0.0001
wh_lfrsuffleNo3,3,0.954491,0.0001
wh_lfrsuffleNo3,3,0.960967,0.0001
wh_lfrsuffleNo3,3,0.965682,0.0001
wh_lfrsuffleNo30,30,1.00187,0.0001
wh_lfrsuffleNo30,30,1.00209,9.7e-05
wh_lfrsuffleNo30,30,1.00293,9.5e-05
wh_lfrsuffleNo30,30,1.00324,9.6e-05
wh_lfrsuffleNo30,30,1.00383,9.3e-05
wh_lfrsuffleNo31,31,1.00197,9.2e-05
wh_lfrsuffleNo31,31,1.00228,9.4e-05
wh_lfrsuffleNo31,31,1.00311,9.9e-05
wh_lfrsuffleNo31,31,1.00393,9.5e-05
wh_lfrsuffleNo31,31,1.00382,9.7e-05
wh_lfrsuffleNo32,32,1.00252,9.6e-05
wh_lfrsuffleNo32,32,1.00242,9.5e-05
wh_lfrsuffleNo32,32,1.00335,9.1e-05
wh_lfrsuffleNo32,32,1.00404,9.2e-05
wh_lfrsuffleNo32,32,1.00405,9.3e-05
wh_lfrsuffleNo33,33,1.00233,9.4e-05
wh_lfrsuffleNo33,33,1.00273,9.7e-05
wh_lfrsuffleNo33,33,1.00332,9.8e-05
wh_lfrsuffleNo33,33,1.00441,9.5e-05
wh_lfrsuffleNo33,33,1.00401,9.8e-05
