Folder,anaKeff,convert_r,avg_n,pu239Capt,pu239Fiss,pu240Capt,pu240Fiss,pu241Capt,pu241Fiss, u235Capt, u235Fiss, u238Capt, u238Fiss
U10,0.34325,11.4311,2.67518,1522490000000000.0,4852220000000000.0,6562600000000.0,3531220000000.0,16376800000.0,172148000000.0,4029160000000000.0,1.32645e+16,2.70563e+17,2.39094e+16
U11,0.35048,10.9016,2.68139,1775370000000000.0,5673960000000000.0,9205220000000.0,5205790000000.0,16219400000.0,216540000000.0,3919650000000000.0,1.28723e+16,2.64272e+17,2.34334e+16
U12,0.358605,10.4162,2.68754,2004340000000000.0,6444720000000000.0,11642300000000.0,6155420000000.0,55666700000.0,157746000000.0,3809760000000000.0,1.25356e+16,2.58261e+17,2.30679e+16
U13,0.366634,9.93651,2.69389,2249710000000000.0,7271670000000000.0,14918200000000.0,8045280000000.0,92756800000.0,379883000000.0,3671580000000000.0,1.21582e+16,2.51899e+17,2.25759e+16
U14,0.376134,9.42462,2.70083,2523700000000000.0,8155170000000000.0,19560400000000.0,10306000000000.0,105274000000.0,618997000000.0,3552270000000000.0,1.17582e+16,2.44934e+17,2.20864e+16
U15,0.384601,9.00135,2.70703,2761310000000000.0,8945440000000000.0,23414300000000.0,12263000000000.0,103408000000.0,568606000000.0,3434230000000000.0,1.13838e+16,2.38749e+17,2.16209e+16
U16,0.390734,8.72053,2.71119,2909610000000000.0,9477760000000000.0,26693800000000.0,13913100000000.0,210829000000.0,794813000000.0,3364440000000000.0,1.1156e+16,2.34643e+17,2.13225e+16
U17,0.39471,8.55276,2.71377,3006290000000000.0,9808580000000000.0,28465100000000.0,14703600000000.0,188255000000.0,1097940000000.0,3318000000000000.0,1.09992e+16,2.32043e+17,2.11523e+16
U18,0.402915,8.2087,2.7193,3212440000000000.0,1.05172e+16,32998000000000.0,17397900000000.0,268712000000.0,1289010000000.0,3218520000000000.0,1.06567e+16,2.26584e+17,2.07538e+16
U19,0.415974,7.71082,2.72739,3516130000000000.0,1.15526e+16,38829600000000.0,20782100000000.0,295726000000.0,1333360000000.0,3067800000000000.0,1.02024e+16,2.18501e+17,2.01555e+16
U20,0.432104,7.16482,2.73676,3868430000000000.0,1.27762e+16,48511200000000.0,26940400000000.0,338708000000.0,2011810000000.0,2888230000000000.0,9665640000000000.0,2.09179e+17,1.94522e+16
U21,0.445661,6.75588,2.74453,4146070000000000.0,1.37517e+16,59039500000000.0,31951100000000.0,431276000000.0,2475330000000.0,2750920000000000.0,9188650000000000.0,2.01544e+17,1.88785e+16
U22,0.458553,6.41353,2.75114,4359840000000000.0,1.45955e+16,70026200000000.0,38318700000000.0,395680000000.0,2695320000000.0,2638670000000000.0,8826770000000000.0,1.9506e+17,1.84052e+16
U23,0.468692,6.15809,2.75611,4539690000000000.0,1.52477e+16,76321600000000.0,42778300000000.0,523595000000.0,2950700000000.0,2550740000000000.0,8543520000000000.0,1.90121e+17,1.80358e+16
